x,y
2,-1.999618
2,-1.999618
8,-3.978312
9,-1.969175
10,-0.95777
10,3.04223
11,-3.943845
14,3.11557
15,0.142095
21,-2.610555
25,2.656825
26,-0.26121
31,2.251935
31,2.251935
35,1.801555
35,-1.198445
37,-0.871723
41,-0.104375
42,4.112662
44,7.57874
47,3.361647
51,3.572515
54,10.61473
56,5.37716
58,9.196038
59,12.627275
63,12.503423
63,9.503423
64,12.01152
71,17.033895
71,17.033895
77,23.176157
77,22.176157
79,19.709455
81,24.322385
83,25.016963
84,25.8955
84,22.8955
85,22.795205
87,24.659127
88,31.623848
88,26.623848
92,30.707012
93,37.785133
94,34.88669
95,40.011935
98,37.532318
99,44.754835
99,43.754835
100,43.0023
